problem;method;stage-reward;best-so-far;time
ackley;myopic;-18.191067632539177,-18.25943108579585,-18.482541749682333,-18.663091191343472,-18.816521024475225,-19.01901699930757,-17.90854720367881,-18.139227185050895,-18.28574150444726,-18.548854114894414,-18.865150383358657,-16.123409140874582,-15.349300692737556,-12.429539714258544,-12.56823436350193,-11.67632397883206,-11.123480142611298,-11.574977216722493,-7.488291465280746,-4.208415277475268,-3.7408349873165294,-4.608901745873312,-2.2685618106080123,-2.116433412258768,-2.9985120096738975,-2.1639417886182803,-0.892266321185418,-1.2036320083739458,-2.2229082581989577,-1.162731754572114,-1.382420057447775,-2.0887198769063433,-2.8024813565502567,-1.2752054239238457,-2.7082161864945293,-0.5432294045775554,-0.3704048465889503,-2.222431595475844,-0.2533624797569472,-0.24699995533074065,-2.2709175608073027,-0.30618736014980796,-0.3376728675204034,-0.2687463263606149,-0.18913220194951952,-0.5741174463862748,-1.273480088631882,-1.57942239286794,-0.7944195710690791,-1.5425350565763365;18.938764836695047,18.938764836695047,18.938764836695047,18.938764836695047,18.938764836695047,18.938764836695047,18.621690451432126,18.621690451432126,18.621690451432126,18.621690451432126,18.621690451432126,16.99988110674314,16.302846769572643,13.57609789312913,13.57609789312913,13.267118664643057,12.90231902406309,12.90231902406309,8.959703702581537,5.904512486464039,5.904512486464039,5.904512486464039,3.8161168076125738,3.8161168076125738,3.8161168076125738,1.4891227806626266,1.4891227806626266,1.4891227806626266,1.4660318870767033,1.4660318870767033,1.4660318870767033,1.4660318870767033,1.4660318870767033,1.4660318870767033,0.6732615975194958,0.6732615975194958,0.48822447492866106,0.38851218426264156,0.38851218426264156,0.38851218426264156,0.38851218426264156,0.38851218426264156,0.2427679768787141,0.2427679768787141,0.2427679768787141,0.17807761371114994,0.17807761371114994,0.17807761371114994,0.17807761371114994,0.17807761371114994,0.17807761371114994;223.00979614257812,381.6263427734375,811.146240234375,576.0184326171875,636.0975341796875,217.91949462890625,335.1889953613281,780.57470703125,391.1915588378906,331.030517578125,158.4148406982422,620.2664794921875,440.2104187011719,485.5132141113281,395.7503967285156,391.6441650390625,219.06326293945312,207.54432678222656,417.7408142089844,433.2697448730469,420.88140869140625,448.9502258300781,487.0184631347656,372.5670471191406,292.28955078125,152.28416442871094,276.9407958984375,734.3196411132812,149.87161254882812,792.0271606445312,256.3901062011719,280.48687744140625,165.6299591064453,773.8859252929688,244.91212463378906,1411.3433837890625,1376.342041015625,97.05062103271484,1404.3831787109375,439.8612365722656,142.94943237304688,1590.865966796875,298.7806701660156,838.4655151367188,2234.343505859375,324.75341796875,304.3450927734375,272.9666442871094,365.7840576171875,198.48806762695312
adjiman;myopic;1.7201829004470197,1.6891271666228305,1.6664459511474188,1.914682419288838,1.9462382874208823,1.9442931705617972,1.9256507693136724,1.9145040989183957,1.9699489502120022,1.9953985524714228;-1.6077741673546346,-1.6077741673546346,-1.6077741673546346,-1.8666831651632687,-1.8930804852995344,-1.8930804852995344,-1.8930804852995344,-1.8930804852995344,-1.954537385383317,-1.9827150528855977,-2.008401435408246;47.1275520324707,80.5580825805664,50.39820861816406,103.4250259399414,71.84178924560547,60.109825134277344,69.56339263916016,70.52489471435547,108.43647766113281,66.34700775146484
branin;myopic;11.912678379831569,7.280073317601486,4.867971806186862,3.2113614872650036,7.768151212667645,7.517569842934391,5.175344429231845,3.6726195692208172,34.25139681649487,30.950482999018416,30.062939149171925,27.97491649689257,29.058986770388884,27.910784402950092,24.99276407208961,22.134296468229664,21.557328229627004,20.054250444559568,18.33519524491251,17.76877260800296,15.818240084398596,15.541406139151315,14.932701747825625,13.337135292059148,16.098819952266012,11.602475266216965,10.563464171420183,10.844550647160647,10.446365052818742,9.421336907984,9.30901280474901,8.453102991712283,7.85868456337238,8.003857980967009,8.47279363143168,7.646088384262832,8.63693639784272,6.5932467320293,6.154889170786584,6.211853092855554;3.120297525336067,3.120297525336067,3.120297525336067,3.120297525336067,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563,0.49119664159571563;121.97990417480469,174.6155548095703,204.18150329589844,206.7025909423828,197.4036407470703,188.9249267578125,114.66239929199219,118.73280334472656,143.81875610351562,112.58163452148438,175.00364685058594,92.37811279296875,113.11001586914062,101.88390350341797,92.47334289550781,133.53062438964844,95.57504272460938,94.9012451171875,76.02278137207031,69.45075225830078,130.4012451171875,99.80313873291016,73.19859313964844,86.76557159423828,103.8950424194336,156.78565979003906,110.3851547241211,157.5055389404297,105.94099426269531,106.49702453613281,89.5129623413086,85.82550048828125,116.71347045898438,171.0602264404297,171.35305786132812,125.86700439453125,138.534912109375,131.0740509033203,141.11949157714844,126.10457611083984
hartmann;myopic;3.7497048177122716,4.08443931970124,2.6513143934544714,3.110121470445284,16.67882314495589,8.817158518725709,4.694193532452962,4.676799393813935,4.6612487228168815,9.318734779971344,7.010488367364838,4.851861218866289,4.3213561182027345,6.218110067645151,4.084960241199298,8.37201082326768,12.137123806697305,9.618570283665255,6.880993342926753,3.758695795949582,7.472519836142592,6.94298020478857,5.978733249356043,4.864776958836922,5.284243904883704,7.983845861814733,10.268374012238244,8.206540068458175,4.62340118629141,5.782428312458994,4.955760616273139,4.397743596256238,6.324166670959951,6.672985445435849,4.2324340997972865,4.186968795990493,4.156153393067854,4.060073877005789,4.081327605774202,4.041180187576009,3.991494142990433,4.058273803276315,4.041242822884446,3.9402921155784587,3.9116009486158765,3.9567414941074466,3.966826342411212,3.9525680259106095,3.9241271116185414,3.8939157197465737;-2.2384074962952574,-2.2384074962952574,-2.2384074962952574,-2.8555805351309633,-2.8555805351309633,-2.8555805351309633,-2.8555805351309633,-2.8555805351309633,-3.2615022558679367,-3.2615022558679367,-3.2615022558679367,-3.2615022558679367,-3.2615022558679367,-3.2883640034340686,-3.2883640034340686,-3.2883640034340686,-3.2883640034340686,-3.2883640034340686,-3.2883640034340686,-3.2883640034340686,-3.7361852925105334,-3.7361852925105334,-3.7361852925105334,-3.7361852925105334,-3.7361852925105334,-3.7361852925105334,-3.7361852925105334,-3.7361852925105334,-3.7361852925105334,-3.7361852925105334,-3.7361852925105334,-3.7361852925105334,-3.7361852925105334,-3.7361852925105334,-3.7361852925105334,-3.851124413636723,-3.851124413636723,-3.851124413636723,-3.851124413636723,-3.851124413636723,-3.851124413636723,-3.851124413636723,-3.851124413636723,-3.851124413636723,-3.851124413636723,-3.851124413636723,-3.852669122816156,-3.852669122816156,-3.852669122816156,-3.852669122816156,-3.852669122816156;29.78508758544922,81.40799713134766,514.6613159179688,532.6417846679688,735.5228271484375,78.94322967529297,76.88601684570312,64.52633666992188,115.2573471069336,53.812225341796875,63.172607421875,101.22239685058594,101.95455932617188,105.96454620361328,150.9232635498047,111.24022674560547,138.4284210205078,92.57062530517578,74.50828552246094,76.64640045166016,61.69599914550781,90.94451141357422,81.08953857421875,126.66265869140625,132.82508850097656,98.79859161376953,96.67686462402344,104.6661148071289,96.96358489990234,108.21119689941406,201.06137084960938,125.90592193603516,141.4799346923828,98.3562240600586,102.0917739868164,136.6702117919922,111.6569595336914,173.29766845703125,115.47955322265625,176.6614990234375,235.12576293945312,183.7670440673828,254.593017578125,238.81216430664062,185.62559509277344,186.85031127929688,242.5364532470703,198.89353942871094,296.4695129394531,216.4490203857422
michalewicz;myopic;1.725745201986279,1.5290048398264284,2.4948084252313834,2.1727176324193356,2.2948352150342233,1.9806419027787607,4.872776100607371,5.310285406149374,2.942427672093489,3.1347926547028426,2.648653372965292,2.6480305474893617,2.5085130602251327,3.919081275944047,3.7282449006705476,3.125273461472893,2.8588624110526717,2.7240432627487996,5.559883283766078,5.357611952796066,3.758816341667152,3.526538592946545,3.9294531590801194,3.78803682806947,3.122472545762078,3.013228772727256,3.7402997301275995,4.139098243678063,3.3936610886179426,3.4520280805064947,2.8001008185512433,4.1154027534850774,3.839897054190494,3.4382197322301007,3.1473354886540514,2.827707210598192,2.627853401986874,2.880606856721019,2.8419174629036523,2.383448121122425,2.6232357029395867,2.36568118110275,2.1310197006894858,3.3300841159281847,2.4505929432514417,3.04838776764597,2.4170706183868536,2.3775773199892365,2.7760838308322713,2.8282315433400425;-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147,-1.409803397587147;45.13689422607422,67.86048126220703,56.05171203613281,63.22380828857422,68.1523208618164,134.76351928710938,99.00646209716797,95.52384185791016,120.9702377319336,89.28050994873047,140.54092407226562,400.184326171875,125.09696197509766,148.9817657470703,66.89791870117188,103.7127685546875,144.67481994628906,120.44595336914062,138.10482788085938,122.2973403930664,119.40966033935547,136.66099548339844,153.9471435546875,157.65811157226562,191.1910400390625,131.38124084472656,124.01459503173828,116.4738540649414,97.02706909179688,78.79065704345703,96.81407928466797,135.66770935058594,86.15526580810547,113.89542388916016,113.91078186035156,189.4082489013672,127.15519714355469,268.3258972167969,156.68223571777344,99.8256607055664,158.11276245117188,188.50306701660156,125.6622085571289,103.83462524414062,140.85324096679688,121.19757080078125,132.84658813476562,168.08755493164062,238.9995574951172,137.69932556152344
rastrigin;myopic;-7.018326308712441,-5.980541105656381,-11.78787017424817,-17.15217420324612,-21.93050148866472,-24.87781186379002,-26.377916390300268,-29.069202730314828,-33.05407450817117,-34.956198813141555,-41.667538808109235,-43.77576122426136,-13.146322130131471,-20.42183913738798,-11.192010390855634,-6.09591350435582,-14.031783847667,-20.32948759565738,-16.88640886220538,-21.00131658633516,77.90859988053951,54.2834188203966,39.52537793000079,-22.854679026447357,-28.660268032258077,14.44454585905836,57.764949079327266,77.38841777409372,18.347136661937576,2.4040878287231635,-22.240340451744963,45.781174462764895,13.669484503493457,78.62478223891222,9.873531946455545,145.5927457424938,102.9877180220369,70.25504655608736,36.61866707556321,18.82231732159976,19.058071423219,14.273926137069674,19.055553589067493,4.9560549752534815,-15.204985187422627,1.703573506978928,-1.5787644264272451,-9.764393444813363,-1.5689556580664619,-10.924145337437055,54.251851678971306,-23.188612159202528,11.355254905499068,1.672816862362203,39.84558262479155,-3.2654978713791163,270.59341379330215,138.34814153626394,102.14848154266673,75.26561477691092,112.6239805333075,46.61677040490582,36.503347335745374,37.86467306002902,36.919661723643486,-6.2888134397087105,137.72583493584085,18.227820066298012,2.6331153816769026,81.34961003778162,-2.1582835619852485,22.77283279719083,121.23768478569112,46.14654598116636,11.715306231466975,-10.657450316146086,22.572030732336263,32.06998977352989,27.191942512790707,30.901961654144063;56.67027880750801,56.67027880750801,56.67027880750801,56.67027880750801,56.67027880750801,56.67027880750801,56.67027880750801,56.67027880750801,56.67027880750801,56.67027880750801,56.67027880750801,56.67027880750801,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,27.08768991451177,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887,25.401850912898887;78.3974380493164,75.49235534667969,267.2117614746094,72.4664306640625,106.72844696044922,157.41952514648438,120.50739288330078,138.09971618652344,164.68992614746094,122.6588134765625,126.84595489501953,134.88844299316406,108.43135833740234,156.2828826904297,138.53900146484375,276.12774658203125,252.1466827392578,234.82675170898438,242.61016845703125,220.97203063964844,289.7366943359375,278.7727355957031,332.33203125,156.66482543945312,168.22067260742188,176.31231689453125,221.35910034179688,299.683837890625,208.2355194091797,108.90751647949219,148.72268676757812,160.8970184326172,214.94374084472656,168.38552856445312,193.88723754882812,154.1263427734375,270.6913146972656,263.5284423828125,359.7568054199219,342.572021484375,185.7433624267578,222.22950744628906,261.75079345703125,199.68614196777344,185.64402770996094,229.43846130371094,144.20889282226562,174.83775329589844,189.5424041748047,222.5305633544922,252.78562927246094,249.08697509765625,350.1741943359375,367.32415771484375,338.1330261230469,308.81793212890625,322.1268615722656,337.8278503417969,334.887939453125,270.6820983886719,260.65509033203125,236.32691955566406,212.4093475341797,199.6759033203125,228.14207458496094,242.11558532714844,180.35711669921875,184.3251190185547,306.26715087890625,199.6697540283203,136.0384063720703,195.9086151123047,310.1890563964844,319.10400390625,167.7557830810547,148.73599243164062,238.34725952148438,263.1475524902344,194.3582763671875,179.0382080078125
rosenbrock;myopic;27146.03576835846,-74751.51485676493,-111561.70392544486,-80315.16733529669,122885.93169513288,106137.12530024188,17929.004053288198,302.0544438649231,51256.248757990434,18556.049307723413,7016.477934689043,78498.9820343736,130631.71813340056,106245.22018287916,108158.51040726138,97720.46240216313,88546.62308118129,91285.57155201447,84543.26423544866,68674.41351600566,61800.794725095504,63536.39166999255,62077.70563432151,54760.429457490565,64466.01920774096,57465.247217757824,55386.50257709528,44343.10139380171,46569.169615734514,43311.36120962938,38078.81027669387,35923.05599482432,35358.30769936884,33023.55328957155,31440.724254506753,30249.113297794735,29229.80263329684,40224.51515981445,32677.61267966607,28180.6958592223,27402.81540042619,25675.782339772733,23603.15247738396,23641.880558983197,29086.735578020354,32777.61560454679,29355.839292906257,28590.61130757409,23341.182091266477,35927.9935613491;135557.9481927565,135557.9481927565,135557.9481927565,135557.9481927565,135557.9481927565,135557.9481927565,135557.9481927565,135557.9481927565,135557.9481927565,103078.16754143462,103078.16754143462,65092.4116756624,27451.68748436108,16712.606906301076,15654.139814233948,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789,7745.455777794789;146.54258728027344,113.30150604248047,74.9271011352539,174.99034118652344,184.0947265625,232.81971740722656,262.8106384277344,248.3732452392578,223.16236877441406,297.091064453125,229.00428771972656,213.46304321289062,239.8392333984375,316.6105651855469,244.4226531982422,280.69989013671875,276.6950378417969,426.0474853515625,288.6594543457031,205.87826538085938,290.9204406738281,241.08338928222656,223.77471923828125,309.7251892089844,244.21580505371094,294.1562805175781,194.07667541503906,220.9003448486328,212.5496368408203,220.91162109375,304.84173583984375,414.3523864746094,262.5515441894531,242.54258728027344,227.65875244140625,312.3220520019531,266.8963928222656,278.4829406738281,289.01068115234375,227.53074645996094,210.13912963867188,267.1708068847656,248.0752716064453,246.9898223876953,199.8305206298828,198.18905639648438,210.6122283935547,181.3411865234375,213.3719024658203,217.86317443847656
shekel;myopic;0.32413101609511247,0.8035535035809558,1.2651948448096213,1.170990502425045,1.296861139372068,1.249181056486613,1.2268926944334928,1.138539150379279,1.8079997467784896,4.324739547861732,3.297248510585206,5.164886129365974,3.2157021571615916,3.8162620185071696,3.5908727547800945,7.425761770410545,3.9027486643685836,2.6070385398057154,3.616785108746158,5.936829631896334,3.396273438853127,2.942490600276063,4.940821922067861,6.995757546107841,9.390116466392623,8.753169865058322,21.338996467178525,12.187659832127695,7.327750527508373,7.020197159626601,7.337309265607014,6.586502368655918,4.928930853445517,4.888978211434852,3.9988173582363533,4.580959467106772,3.4296609684602286,3.177416085386768,3.2265412470998256,5.801909555639654,4.8172602050292666,3.5146826620627127,3.797570644946907,2.797423260613672,2.5519327824085263,3.9626755506735525,2.6918387300970394,3.658982404163279,2.7807495047824475,2.559141253185934,2.450365122467527,2.5891065953150534,2.384689341174098,2.311589883742114,3.8867207913899993,2.29999448857841,2.065439775553323,5.682305037736803,11.40577745193197,8.585677398674353,5.234558041340768,3.727135374078611,3.7392251689542846,3.6306419563689736,3.5394340885945375,3.050045552479969,9.336132376671161,39.262963779962135,34.80996882520867,31.3863285111549,24.138417128189886,23.451504503389167,18.743747872132356,13.666762994606593,13.678796641546821,11.898522544962761,13.458461468827256,32.98916555428364,17.20209081089941,16.94267466085805;-0.2961864846825129,-0.6209736526689074,-1.0323256691370797,-1.0636415213826655,-1.0636415213826655,-1.0636415213826655,-1.0636415213826655,-1.0636415213826655,-1.0636415213826655,-2.988374558435148,-2.988374558435148,-2.988374558435148,-2.988374558435148,-2.988374558435148,-2.988374558435148,-2.988374558435148,-2.988374558435148,-3.3545441541924723,-3.3545441541924723,-3.3545441541924723,-3.3545441541924723,-3.3545441541924723,-3.3545441541924723,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812,-5.599541115605812;64.98406219482422,91.84563446044922,93.6263656616211,185.8723907470703,174.81622314453125,256.6225891113281,393.3235168457031,508.432373046875,422.3959045410156,471.7752380371094,767.7460327148438,790.5484619140625,362.313720703125,525.1184692382812,677.950439453125,729.2743530273438,470.5802307128906,297.1617431640625,458.2604675292969,293.148681640625,419.1518859863281,422.2207946777344,719.9252319335938,564.6991577148438,282.24102783203125,392.8330383300781,303.71533203125,313.0716247558594,246.86285400390625,333.8926086425781,442.4642639160156,489.987060546875,498.1002197265625,327.6103820800781,379.3899230957031,288.62054443359375,349.8782653808594,403.01568603515625,354.1084289550781,392.237060546875,439.5540466308594,376.5432434082031,306.8753967285156,307.01873779296875,263.7434997558594,200.39474487304688,244.75135803222656,424.8146057128906,436.9827880859375,374.2105712890625,428.7764587402344,484.7226867675781,386.16986083984375,416.611328125,458.5635986328125,297.89593505859375,321.3813781738281,153.24569702148438,614.1542358398438,314.1969909667969,434.3121643066406,201.48634338378906,263.0215759277344,316.2562561035156,285.5843811035156,332.9955749511719,443.8528137207031,393.7392578125,356.6028747558594,572.1282348632812,324.4503173828125,303.5525207519531,346.7356262207031,329.05523681640625,405.6156311035156,226.1043243408203,347.4001770019531,338.4944763183594,191.4019775390625,421.8716125488281
sixhumpcamel;myopic;1954.818153950102,2204.27685288824,1950.7510729026812,1689.0692062409876,1382.9189376326283,1309.8941126556047,1088.0121582469603,1014.8682956749552,927.1299562412528,808.0461551592277;25.019011978477515,25.019011978477515,25.019011978477515,25.019011978477515,2.270771960672461,2.270771960672461,-0.09108615175184068,-0.09108615175184068,-0.09108615175184068,-0.09108615175184068,-0.09108615175184068;125.10310363769531,102.00780487060547,137.66656494140625,65.87596893310547,74.32601928710938,125.11846160888672,187.87635803222656,109.1430435180664,94.60633850097656,145.69882202148438
styblinskitang;myopic;152.38416007669508,169.01380671783303,161.6255003499927,181.97115009522972,165.0081025424251,164.521316688734,157.7614064018112,165.06981443414753,190.42158372361172,180.34405203104293,182.95626752129468,180.2772084615677,178.811547080578,180.17592222469622,189.21296293966014,185.53556814999303,185.05155422102644,184.11736260238447,183.62438326609922,183.46592906240042,183.16453946766413,183.1285010105324,182.92453244030315,182.79681781151703,182.68017340234155,182.6630307287068,182.56173203817028,182.50179664600785,182.45669380954126,182.42467402216252,182.3769050010537,182.3463268639441,182.30332529240096,182.27949194611352,257.98629443663623,282.2164138891578,182.51031712160759,182.4906220827225,182.44073350636415,482.25883037833717,383.27044870735875,182.83165111427792,182.6999952411422,240.95427289245248,221.02082907447104,543.9353997936824,1237.043316023796,898.0387003654172,214.74189310352338,188.13505375267547,181.2984569437543,172.07111235893123,168.67754592427255,164.0251086301869,190.28729376574628,183.4619914254492,183.94008766368552,181.7001500083451,192.06599205682608,191.3455979857738;-121.58766734717717,-147.19876988293103,-147.19876988293103,-147.19876988293103,-147.19876988293103,-147.19876988293103,-147.19876988293103,-152.74129297341202,-170.99441022914004,-170.99441022914004,-170.99441022914004,-173.1008641385285,-174.11533096735926,-175.22600798180474,-180.5899344593396,-180.5899344593396,-180.7659673570881,-180.7659673570881,-181.18871470585663,-181.18871470585663,-181.18871470585663,-181.41524478789148,-181.41524478789148,-181.6075512831648,-181.6075512831648,-181.6075512831648,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-181.63537037204873,-183.99569259833476,-190.20828029113676;87.8766098022461,100.90290832519531,126.5080337524414,108.68633270263672,175.2156219482422,148.9151611328125,193.9435577392578,136.52992248535156,139.29574584960938,161.65478515625,139.3756103515625,136.83917236328125,151.50079345703125,170.33421325683594,125.3785629272461,171.6695098876953,175.79110717773438,207.8453826904297,210.7904052734375,168.38143920898438,211.483642578125,134.9898223876953,236.55322265625,226.39820861816406,226.28965759277344,141.1768341064453,158.59097290039062,376.38348388671875,208.2529296875,301.3447570800781,191.03436279296875,235.69509887695312,259.6915283203125,178.24969482421875,253.8137664794922,253.99501037597656,175.98976135253906,147.00440979003906,118.53517150878906,220.26853942871094,179.49798583984375,143.0118408203125,200.83200073242188,290.0316162109375,162.36441040039062,328.0823974609375,321.7161865234375,177.59231567382812,100.53734588623047,114.52825927734375,103.93907165527344,90.35775756835938,129.45919799804688,158.77427673339844,179.0392303466797,341.39239501953125,196.04173278808594,214.1306915283203,209.28717041015625,170.33932495117188
